Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Inclusão de dados incorretos no CCS (Cadastro de Clientes do Sistema Financeiro Nacional);1;0;0;1;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de débito;0;1;0;1;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Oferta ou prestação de informação sobre a conta ou serviços acessórios de forma inadequada ;0;1;0;1;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Oferta ou prestação de informação sobre produtos e serviços de forma inadequada, exceto as relacionadas a cartão de crédito, conta e serviços acessórios, credenciadora de cartão e operação de crédito;0;1;0;1;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Abertura de conta de depósito com documentação falsa;1;0;0;1;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Ausência de título adequado relativo a cartão de crédito consignado;0;3;0;3;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Bloqueio de cartão de crédito;0;0;1;1;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Bloqueio de conta;0;0;4;4;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Cancelamento de contrato a pedido do cliente não atendido;2;2;0;4;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Cobrança irregular de tarifa relacionada a conta ou serviços acessórios à conta;0;2;0;2;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Cobrança irregular de tarifa relacionada ao cartão de crédito;0;2;0;2;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Cobranças diversas;0;0;5;5;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Concessão de crédito (exceto consignado) sem a formalização do título adequado;1;1;0;2;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Concessão de crédito consignado mediante a formalização de título adequado com base em documentação falsa;0;2;0;2;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Concessão de crédito consignado sem a formalização do título adequado;0;1;0;1;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Concessão de demais créditos (exceto consignado) mediante a formalização de título adequado com base em documentação falsa;1;0;0;1;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Crédito consignado;0;0;2;2;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Descumprimento de prazo de resposta da reclamação registrada no BCB;0;1;0;1;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Débito em conta de depósito não autorizado pelo cliente;2;2;0;4;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Falta de transparência na redação de documentos;2;0;0;2;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Golpe;0;0;2;2;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;3;10;0;13;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento;0;0;14;14;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades no processo de encerramento de conta de depósitos à vista;2;0;0;2;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao Custo Efetivo Total (CET) de operação de crédito;0;1;0;1;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito;2;9;0;11;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao fornecimento de documentos relativos a cartão de crédito;2;1;0;3;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao fornecimento de documentos relativos a operação de crédito, exceto para liquidação antecipada e descritivo do crédito.;0;93;0;93;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao fornecimento de informações relativas a operação de crédito contratada (DDC);1;1;0;2;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);5;13;0;18;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços disponibilizados em ATM;2;4;0;6;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de crédito;7;4;0;11;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de débito;1;0;0;1;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços, exceto as relacionadas a cartão de crédito, cartão de débito, internet banking, ATM, credenciadora e operação de crédito;0;2;0;2;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade dos serviços relacionados a operações de crédito;10;15;0;25;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relativas a telemarketing, SMS ou Whatsapp com oferta de produtos e serviços;0;0;3;3;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Juros e preços;0;0;1;1;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Não acatamento de solicitação de cancelamento de débitos automáticos em conta de depósito;2;0;0;2;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Oferta ou prestação de informação sobre a conta ou serviços acessórios de forma inadequada ;4;2;0;6;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Oferta ou prestação de informação sobre crédito consignado de forma inadequada;3;7;0;10;
2020;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Oferta ou prestação de informação sobre operação de crédito de forma inadequada, exceto crédito consignado;2;5;0;7;
