Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2021;3º;Demais bancos e financeiras;Conglomerado; ;ABC-BRASIL (conglomerado);Golpe;0;0;1;1;
2021;3º;Demais bancos e financeiras;Conglomerado; ;ABC-BRASIL (conglomerado);Inclusão de dados incorretos no CCS (Cadastro de Clientes do Sistema Financeiro Nacional);0;1;0;1;
2021;3º;Demais bancos e financeiras;Conglomerado; ;ABC-BRASIL (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços, exceto as relacionadas a cartão de crédito, cartão de débito, internet banking, ATM, credenciadora e operação de crédito;1;1;0;2;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Abertura de conta de depósito com documentação falsa;1;1;0;2;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Abertura de conta de depósito sem documentação necessária;0;2;0;2;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Abertura de conta de pagamento sem documentação necessária ou com documentação falsa;0;1;0;1;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Ausência de título adequado relativo a cartão de crédito;1;1;0;2;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Ausência de título adequado relativo a cartão de crédito consignado;2;5;0;7;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Cancelamento de contrato a pedido do cliente não atendido;1;4;0;5;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Cartões de débito;0;0;1;1;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Cobrança irregular de tarifa em operação de crédito;0;2;0;2;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Cobranças diversas;0;0;20;20;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Concessão de crédito (exceto consignado) sem a formalização do título adequado;2;3;0;5;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Concessão de crédito consignado mediante a formalização de título adequado com base em documentação falsa;1;1;0;2;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Concessão de crédito consignado sem a formalização do título adequado;0;2;0;2;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Descumprimento de prazo de resposta da reclamação registrada no BCB;1;11;0;12;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Débito em conta não autorizado pelo cliente, ou não cumprimento das regras aplicáveis;2;5;0;7;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Falta de transparência na redação de documentos;1;0;0;1;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Golpe;0;0;2;2;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Inclusão de dados incorretos no CCS (Cadastro de Clientes do Sistema Financeiro Nacional);1;1;0;2;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;3;18;0;21;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento;0;0;6;6;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Insatisfação com o atendimento prestado por agências;0;0;3;3;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Irregularidades no processo de encerramento de conta de depósitos à vista;1;7;0;8;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao atendimento da Ouvidoria;1;0;0;1;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito;2;4;0;6;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao fornecimento de documentos relativos a cartão de crédito;0;4;0;4;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao fornecimento de documentos relativos a conta;0;1;0;1;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao fornecimento de documentos relativos a operação de crédito, exceto para liquidação antecipada e descritivo do crédito.;10;92;0;102;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao fornecimento de informações relativas a operação de crédito contratada (DDC);2;8;0;10;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao fornecimento de outros documentos, exceto os relativos a cartão de crédito, conta e operação de crédito;0;2;0;2;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);3;6;0;9;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas à liquidação de documentos (exceto cheques);2;0;0;2;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relativas a crédito rotativo de cartão de crédito e inadimplência do cartão de crédito;1;1;0;2;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços disponibilizados em ATM;5;4;0;9;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de crédito;4;10;0;14;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de débito;1;1;0;2;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços, exceto as relacionadas a cartão de crédito, cartão de débito, internet banking, ATM, credenciadora e operação de crédito;4;5;0;9;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade dos serviços relacionados a operações de crédito;23;30;0;53;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relativas a telemarketing, SMS ou Whatsapp com oferta de produtos e serviços;0;0;10;10;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Juros e preços;0;0;2;2;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Não acatamento de solicitação de cancelamento de débitos automáticos em conta ou não cumprimento das regras aplicáveis;0;1;0;1;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Oferta ou prestação de informação sobre a conta ou serviços acessórios de forma inadequada ;3;2;0;5;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Oferta ou prestação de informação sobre crédito consignado de forma inadequada;6;23;0;29;
2021;3º;Demais bancos e financeiras;Conglomerado; ;AGIBANK (conglomerado);Oferta ou prestação de informação sobre o cartão de crédito de forma inadequada ;0;6;0;6;
