Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Concessão de crédito (exceto consignado) sem a formalização do título adequado;0;4;0;4;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Concessão de crédito consignado mediante a formalização de título adequado com base em documentação falsa;2;3;0;5;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Concessão de crédito consignado sem a formalização do título adequado;1;7;0;8;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Descumprimento de prazo de resposta da reclamação registrada no BCB;1;5;0;6;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Débito em conta de depósito não autorizado pelo cliente;1;5;0;6;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;6;5;0;11;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento;0;0;7;7;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades no processo de encerramento de conta de depósitos à vista;1;3;0;4;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas a boletos de pagamento (exceto ausência de contrato com beneficiário);1;0;0;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao atendimento da Ouvidoria;1;0;0;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito;1;1;0;2;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao fornecimento de documentos relativos a cartão de crédito;0;5;0;5;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao fornecimento de documentos relativos a conta;0;1;0;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao fornecimento de documentos relativos a operação de crédito, exceto para liquidação antecipada e descritivo do crédito.;3;142;0;145;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao fornecimento de informações relativas a operação de crédito contratada (DDC);2;2;0;4;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao fornecimento de outros documentos, exceto os relativos a cartão de crédito, conta e operação de crédito;0;1;0;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);6;13;0;19;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relativas a crédito rotativo de cartão de crédito e inadimplência do cartão de crédito;0;2;0;2;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de crédito;5;7;0;12;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de débito;1;0;0;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços, exceto as relacionadas a cartão de crédito, cartão de débito, internet banking, ATM e credenciadora;2;0;0;2;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade dos serviços relacionados à operações de crédito;12;12;0;24;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Irregularidades relativas a telemarketing, SMS ou Whatsapp com oferta de produtos e serviços;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Juros e preços;0;0;2;2;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Não acatamento de solicitação de cancelamento de débitos automáticos em conta de depósito;6;0;0;6;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Não liberação de margem consignável - Cartão de crédito consignável;0;0;3;3;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Não liberação de margem consignável (exceto cartão de crédito consignável);0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Oferta ou prestação de informação sobre a conta ou serviços acessórios de forma inadequada ;3;1;0;4;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Oferta ou prestação de informação sobre crédito consignado de forma inadequada;7;0;0;7;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Oferta ou prestação de informação sobre o cartão de crédito de forma inadequada ;1;1;0;2;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Oferta ou prestação de informação sobre operação de crédito de forma inadequada, exceto crédito consignado;5;1;0;6;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Oferta ou prestação de informação sobre produtos e serviços de forma inadequada, exceto as relacionadas a cartão de crédito, conta e serviços acessórios, credenciadora de cartão e operação de crédito;1;1;0;2;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Outros assuntos não regulados relacionados a cartão de crédito;0;0;3;3;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Prestação de serviço de forma irregular em conta-salário;0;2;0;2;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Reclamações relacionadas a assuntos diversos;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Recusa de produtos ou serviços;0;0;10;10;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Renegociação de dívida (exceto cartão de crédito);0;0;8;8;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Renegociação de dívidas/encargos relacionadas a cartão de crédito;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Restrição à realização de portabilidade de operações de crédito consignado relativas a pessoas naturais;0;1;0;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Restrições cadastrais;0;0;6;6;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Utilização incorreta da taxa de desconto no cálculo do valor presente relacionadas às demais operações de crédito, exceto as de crédito consignado e de financiamento imobiliário;2;0;0;2;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);2;0;0;2;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Bloqueio de margem consignável sem liberação do empréstimo (exceto cartão de crédito consignável);0;0;2;2;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Cancelamento de contrato a pedido do cliente não atendido;0;1;0;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Cobranças diversas em operação de crédito consignado;0;0;10;10;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Concessão de crédito consignado sem a formalização do título adequado;0;1;0;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Descumprimento de prazo de resposta da reclamação registrada no BCB;0;2;0;2;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;1;4;0;5;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Insatisfação com o atendimento prestado por agências;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relacionadas ao atendimento da Ouvidoria;1;0;0;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito;1;8;0;9;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relacionadas ao fornecimento de documentos relativos a operação de crédito, exceto para liquidação antecipada e descritivo do crédito.;0;2;0;2;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relacionadas ao fornecimento de informações relativas a operação de crédito contratada (DDC);3;5;0;8;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relacionadas ao fornecimento de outros documentos, exceto os relativos a cartão de crédito, conta e operação de crédito;0;1;0;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);1;0;0;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relacionadas à liquidação de documentos (exceto cheques);0;1;0;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços, exceto as relacionadas a cartão de crédito, cartão de débito, internet banking, ATM e credenciadora;0;2;0;2;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade dos serviços relacionados à operações de crédito;7;1;0;8;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relativas a telemarketing, SMS ou Whatsapp com oferta de produtos e serviços;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Não liberação de margem consignável (exceto cartão de crédito consignável);0;0;6;6;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Oferta ou prestação de informação sobre crédito consignado de forma inadequada;1;1;0;2;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Reclamações relacionadas a assuntos diversos;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Recusa de produtos ou serviços;0;0;5;5;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Renegociação de dívida (exceto cartão de crédito);0;0;2;2;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Renegociação de dívidas/encargos relacionadas a cartão de crédito;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Restrição à realização de portabilidade de operações de crédito (exceto crédito consignado e financiamento imobiliário) relativas a pessoas naturais;0;1;0;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Restrição à realização de portabilidade de operações de crédito consignado relativas a pessoas naturais;4;12;0;16;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);Restrições cadastrais;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;27214112;AMAGGI S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Renegociação de dívida (exceto cartão de crédito);0;0;2;2;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado);Cobranças diversas;0;0;2;2;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado);Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito;0;1;0;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado);Irregularidades relacionadas à liquidação de documentos (exceto cheques);0;1;0;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado);Juros e preços;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado);Recusa de produtos ou serviços;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado);Renegociação de dívida (exceto cartão de crédito);0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Concessão de crédito (exceto consignado) sem a formalização do título adequado;0;1;0;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Inclusão de dados incorretos no CCS (Cadastro de Clientes do Sistema Financeiro Nacional);6;1;0;7;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Irregularidades relacionadas ao fornecimento de documentos relativos a cartão de crédito;0;2;0;2;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);5;1;0;6;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Irregularidades relativas a crédito rotativo de cartão de crédito e inadimplência do cartão de crédito;0;1;0;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Terminais eletrônicos, internet e aplicativos;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Abertura de conta de depósito com documentação falsa;2;0;0;2;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Bloqueio de cartão de crédito;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Bloqueio de conta;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Cartões de débito;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Cobrança irregular de tarifa relacionada a conta ou serviços acessórios à conta;4;2;0;6;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Cobrança irregular de tarifa relacionada ao cartão de crédito;1;0;0;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Cobranças diversas;0;0;2;2;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Concessão de crédito (exceto consignado) sem a formalização do título adequado;1;0;0;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Débito em conta de depósito não autorizado pelo cliente;0;1;0;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Encaminhamento de instrumentos de pagamento não solicitados;2;0;0;2;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Falta de transparência na redação de documentos;1;0;0;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;1;1;0;2;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento;0;0;5;5;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Irregularidades no processo de encerramento de conta de depósitos à vista;0;3;0;3;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito;1;0;0;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Irregularidades relacionadas ao fornecimento de documentos relativos a cartão de crédito;1;1;0;2;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Irregularidades relacionadas ao fornecimento de documentos relativos a operação de crédito, exceto para liquidação antecipada e descritivo do crédito.;2;1;0;3;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Irregularidades relacionadas ao fornecimento de outros documentos, exceto os relativos a cartão de crédito, conta e operação de crédito;1;0;0;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);0;1;0;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Irregularidades relacionadas à liquidação de documentos (exceto cheques);4;0;0;4;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços disponibilizados em ATM;0;1;0;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços disponibilizados em internet banking;7;0;0;7;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de crédito;8;1;0;9;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de débito;0;1;0;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços, exceto as relacionadas a cartão de crédito, cartão de débito, internet banking, ATM e credenciadora;1;0;0;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade dos serviços relacionados à operações de crédito;0;3;0;3;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Irregularidades relativas a telemarketing, SMS ou Whatsapp com oferta de produtos e serviços;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Oferta ou prestação de informação sobre a conta ou serviços acessórios de forma inadequada ;1;0;0;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Oferta ou prestação de informação sobre produtos e serviços de forma inadequada, exceto as relacionadas a cartão de crédito, conta e serviços acessórios, credenciadora de cartão e operação de crédito;1;1;0;2;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Outros assuntos não regulados relacionados a cartão de crédito;0;0;2;2;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Reclamações relacionadas a assuntos diversos;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Recusa de produtos ou serviços;0;0;4;4;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Renegociação de dívidas/encargos relacionadas a cartão de crédito;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Restrições cadastrais;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;Terminais eletrônicos, internet e aplicativos;0;0;7;7;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;03532415;BANCO ABN AMRO S.A.;Dificuldade na liberação ou substituição de bem;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;54403563;BANCO ARBI S.A.;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade dos serviços relacionados à operações de crédito;1;0;0;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;02658435;BANCO CATERPILLAR S.A.;Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);1;0;0;1;
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.;Juros e preços;0;0;1;1;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Ausência de informações sobre as regras de funcionamento nos contratos de cartões de crédito ou seu descumprimento;0;2;0;2;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Ausência de título adequado relativo a cartão de crédito;5;4;0;9;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Bloqueio de cartão de crédito;0;0;4;4;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Cancelamento de contrato a pedido do cliente não atendido;0;7;0;7;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Cancelamento de contrato por iniciativa da instituição financeira;0;0;1;1;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Cobrança irregular de tarifa relacionada ao cartão de crédito;1;3;0;4;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Cobranças diversas;0;0;11;11;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Concessão de crédito (exceto consignado) sem a formalização do título adequado;0;1;0;1;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Descumprimento de prazo de resposta da reclamação registrada no BCB;0;1;0;1;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Golpe;0;0;1;1;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;3;12;0;15;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento;0;0;6;6;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Irregularidades relacionadas ao atendimento da Ouvidoria;1;0;0;1;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito;1;1;0;2;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Irregularidades relacionadas ao fornecimento de documentos relativos a cartão de crédito;2;2;0;4;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Irregularidades relacionadas ao fornecimento de outros documentos, exceto os relativos a cartão de crédito, conta e operação de crédito;1;0;0;1;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);1;4;0;5;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Irregularidades relacionadas à liquidação de documentos (exceto cheques);0;1;0;1;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Irregularidades relativas a crédito rotativo de cartão de crédito e inadimplência do cartão de crédito;4;21;0;25;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços disponibilizados em internet banking;2;0;0;2;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de crédito;23;32;0;55;
2020;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços, exceto as relacionadas a cartão de crédito, cartão de débito, internet banking, ATM e credenciadora;12;1;0;13;
