Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Irregularidades relacionadas a operações no mercado de câmbio;0;1;0;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Irregularidades relacionadas à liquidação de documentos (exceto cheques);0;4;0;4;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Não liberação de margem consignável (exceto cartão de crédito consignável);0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Renegociação de dívidas/encargos relacionadas a cartão de crédito;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Restrições cadastrais;0;0;1;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Abertura de conta de depósito com documentação falsa;2;0;0;2;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Abertura de conta de depósito sem documentação necessária;0;1;0;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Ausência de título adequado relativo a cartão de crédito;1;0;0;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Ausência de título adequado relativo a cartão de crédito consignado;0;3;0;3;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Bloqueio de conta;0;0;3;3;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Cancelamento de contrato a pedido do cliente não atendido;0;1;0;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Cartões de débito;0;0;2;2;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Cobrança irregular de tarifa relacionada a conta ou serviços acessórios à conta;0;1;0;1;
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Cobranças diversas;0;0;7;7;
