Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Irregularidades relacionadas ao fornecimento de informações relativas a operação de crédito contratada (DDC);1;0;0;1;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Recusa de produtos ou serviços;0;0;1;1;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Abertura de conta de depósito com documentação falsa;1;0;0;1;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Ausência de título adequado relativo a cartão de crédito consignado;0;1;0;1;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Bloqueio de cartão de crédito;0;0;3;3;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Bloqueio de conta;0;0;5;5;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Bloqueio de margem consignável sem utilização do crédito pelo cliente - Cartão de crédito consignável;0;0;1;1;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Cancelamento de contrato a pedido do cliente não atendido;1;2;0;3;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Cobrança irregular de tarifa relacionada a conta ou serviços acessórios à conta;0;1;0;1;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Cobrança irregular de tarifa relacionada ao cartão de crédito;1;2;0;3;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Cobranças diversas;0;0;14;14;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Cobranças diversas em operação de crédito consignado;0;0;3;3;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Concessão de crédito (exceto consignado) sem a formalização do título adequado;0;4;0;4;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);Concessão de crédito consignado sem a formalização do título adequado;0;1;0;1;
