Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2019;2º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;2;1;0;3;16555;15234;3026;2759;
2019;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);97,53;114;222;134;470;1168817;598516;951374;34664;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;3;2;0;5;285418;114;285304; ;
2019;2º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;10;44;27;81;414955;268171;148074;0;
2019;2º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;1;4;5;8519;2701;5823;0;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;40,80;49;1;6;56;1200969;716172;634523; ;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.; ;10;12;10;32;171435;62658;128231;3597;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;03532415;BANCO ABN AMRO S.A.; ;0;1;0;1;216;187;40;9;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;54403563;BANCO ARBI S.A.; ;2;4;1;7;9936;1690;8293;206;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;00997185;BANCO B3 S.A.; ;0;1;2;3;787;787; ;43;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;27098060;BANCO CBSS S.A.;33,96;40;82;83;205;1177793;2;1177792; ;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;0;0;2;2;26405;1229;25542; ;
2019;2º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;6,29;49;94;81;224;7785855; ;7785855; ;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;4;7;11;22;504047;436530;158956;278441;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;0;1;1;2;37043;2;37041; ;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.;14,05;15;21;14;50;1067222;867680;574385;656200;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.;35,14;25;11;28;64;711247;696854;260772;607646;
2019;2º;Mais de quatro milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.;0,56;4;11;44;59;7073445;6914835;1123093;5054710;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S.A.; ;1;1;6;8;166360;3926;162853;1130;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;90731688;BANCO FORD S.A.; ;0;1;2;3;377;138;252; ;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;34270520;BANCO IBM S.A.; ;1;0;0;1;775;1;775; ;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;04866275;BANCO INBURSA S.A.; ;0;1;0;1;4998;8;4990;5;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.; ;0;1;1;2;10477;4881;6009;1061;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S.A.; ;3;2;3;8;292098;3703;288536;1107;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;60518222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; ;0;1;0;1;1166;1117;129;285;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;07679404;BANCO TOPÁZIO S.A.; ;10;5;0;15;13512;11723;4521;1598;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S.A.; ;0;2;6;8;165899;15269;151948; ;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;4;15;7;26;2090867;196326;1926397;14066;
2019;2º;Menos de quatro milhões de clientes;Banco/financeira;57839805;BANCO TRICURY S.A.; ;0;1;0;1;683;666;151; ;
2019;2º;Menos de quatro milhões de clientes;Conglomerado; ;BANCOOB (conglomerado);6,18;20;32;20;72;3234870;1603090;1914264;0;
