Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;29030467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; ;0;0;1;1;254;247;9
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;11970623;SENFF S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;2;0;2;78008;76;77937
2020;1º;Mais de quatro milhões de clientes;Conglomerado; ;SICREDI (conglomerado);0,42;2;0;0;2;4745257;4722051;157121
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;SOCIETE GENERALE (conglomerado); ;0;1;3;4;703;574;167
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;3881423;SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;8;8;5969;3124;2845
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;SOCOPA (conglomerado); ;1;1;2;4;24738;9410;15598
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;SOFISA (conglomerado);84,31;20;22;42;84;237213;224626;17483
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;SOROCRED (conglomerado); ;9;15;15;39;538412;1276;537191
2020;1º;Menos de quatro milhões de clientes;Banco/financeira;5192316;VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;1;0;0;1;441930;993;440939
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;VOLKSWAGEN (conglomerado);50,24;20;10;47;77;398010;1398;396918
2020;1º;Mais de quatro milhões de clientes;Conglomerado; ;VOTORANTIM (conglomerado);11,14;95;205;281;581;8527116;4863899;4064028
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;WESTERN UNION (conglomerado); ;3;4;2;9;1;1; 
2020;1º;Menos de quatro milhões de clientes;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;0;2;13;15;181066;44;181028
