Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;0;2;2;15746;14498;3042;2778;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);143,57;100;146;231;477;696523;229660;543006;10149;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;5;6;221975;108;221867; ;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;10;31;32;73;425588;268545;158689;0;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;2;3;5;7307;1489;5819;74;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;9;6;16;345988;484;345507; ;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.; ;0;2;2;4;118486;15583;103911;2252;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;03532415;BANCO ABN AMRO S.A.; ;0;0;2;2;279;230;68;23;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;54403563;BANCO ARBI S.A.; ;1;3;1;5;7546;454;7126;210;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;15173776;BANCO CAPITAL S.A.; ;0;2;0;2;1451;1387;168;332;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;02658435;BANCO CATERPILLAR S.A.; ;0;0;1;1;4208; ;4208; ;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;27098060;BANCO CBSS S.A.;37,66;35;62;102;199;929319; ;929319; ;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;33132044;BANCO CEDULA S.A.; ;0;1;0;1;18022;2812;15449;112;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;0;2;4;6;26439;1303;25544; ;
2018;2º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;5,84;24;126;108;258;4108744; ;4108744; ;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;3;7;9;19;499764;427310;162927;277819;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;10690848;BANCO DA CHINA BRASIL S.A.; ;0;1;0;1;465;457;28;315;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;0;1;0;1;41281;2;41279; ;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.; ;8;20;13;41;972392;856648;387856;650884;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.; ;7;20;48;75;701613;687911;227298;596745;
2018;2º;Mais de quatro milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.;0,61;4;28;37;69;6530350;6367762;1040004;4858891;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S.A.; ;2;2;16;20;168768;3670;165512;1153;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;61348538;BANCO FICSA S.A.; ;1;0;0;1;628;628; ;37;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;62237425;BANCO FIDIS S/A; ;0;1;0;1;4737;261;4487; ;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;90731688;BANCO FORD S.A.; ;0;0;1;1;348;95;259; ;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.; ;0;1;0;1;10614;4934;6118;1165;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;00253448;BANCO NEON S.A.; ;2;2;8;12;418083;418083; ;38801;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;00517645;BANCO RIBEIRAO PRETO S.A.; ;0;0;1;1;4494;3773;2734;438;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S.A.; ;0;2;3;5;409890;3814;406257;1197;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;07679404;BANCO TOPÁZIO S.A.; ;2;11;5;18;22977;6478;18218;1277;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S.A.; ;2;6;13;21;146240;15241;132577; ;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;6;11;13;30;1597422;168098;1444672;14118;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;13;23;22;58;2189432;1311534;1023937;0;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;BANESTES (conglomerado);17,82;22;18;6;46;1233897;1194481;326315;879038;
2018;2º;Mais de quatro milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);18,57;86;349;165;600;4628899;3466739;2569217;2563823;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;8;8;5;21;32290;906;31384; ;
2018;2º;Mais de quatro milhões de clientes;Conglomerado; ;BB (conglomerado);20,85;1301;3076;4351;8728;62371119;58690105;23038799;48018420;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;BMG (conglomerado);30,42;112;603;676;1391;3680899;42860;3666146;8689;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;BMW (conglomerado); ;0;0;1;1;20377;20300;17580; ;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);40,98;122;690;477;1289;2976817;17219;2960072;2407;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;BOCOM (conglomerado); ;0;0;1;1;13984;10071;4118;1127;
2018;2º;Mais de quatro milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);19,61;1860;3614;3944;9418;94813604;82574423;42027518;36606327;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;BRASIL PLURAL (conglomerado); ;0;0;1;1;3460;3459;22;753;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;BRB (conglomerado);130,16;111;115;188;414;852744;742862;369986;471241;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;BTG PACTUAL (conglomerado); ;0;2;1;3;104582;59461;45423;9208;
2018;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);27,68;2475;3979;5161;11615;89400030;86564320;17811442;77190824;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;CAIXA GERAL (conglomerado); ;0;0;1;1;1598;1567;81;749;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;09313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;1;2;4;51076;45141;9047; ;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado); ;2;136;57;195;297336;5359;292563;2614;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;CITIBANK (conglomerado); ;1;8;6;15;312172;304880;8085;3790;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;CREFISA (conglomerado); ;4;100;56;160;1505745;315910;1468843;0;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;DACASA FINANCEIRA (conglomerado); ;2;4;11;17;1262583; ;1262583; ;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;DAYCOVAL (conglomerado); ;9;201;118;328;906680;63574;849606;19211;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO; ;0;40;16;56;49920;551;49369; ;
2018;2º;Menos de quatro milhões de clientes;Banco/financeira;00411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;2;3;97449;1981;95559; ;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;GMAC (conglomerado); ;2;31;45;78;415584;457;415216; ;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;GOLCRED (conglomerado); ;0;0;1;1;8423;7;8416; ;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;GRUPO BONSUCESSO - BS2 (conglomerado); ;0;4;0;4;18199;4459;13918;1633;
2018;2º;Menos de quatro milhões de clientes;Conglomerado; ;GRUPO ZEMA (conglomerado); ;0;1;1;2;258443;541;257903; ;
