Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;0;1;1;15684;14421;3025;2895;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);56,08;23;95;96;214;410110;56103;380405;5114;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);47,75;22;37;31;90;460731;268867;193650;0;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;0;2;2;7117;1299;5822;89;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;3;3;215297;97;215201; ;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.; ;0;0;2;2;110596;6439;104482;1918;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S.A.; ;4;51;32;87;25197;3847;21493;1752;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;02658435;BANCO CATERPILLAR S.A.; ;0;0;2;2;4771; ;4771; ;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;27098060;BANCO CBSS S.A.;16,45;26;57;66;149;1580432; ;1580432; ;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;1;3;0;4;27018;1414;26063; ;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;11,15;38;89;66;193;3407577; ;3407577; ;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;3;8;9;20;501945;423124;171728;275745;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;44189447;BANCO DE LA PROVINCIA DE BUENOS AIRES; ;0;0;1;1;70;48;26;0;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;60498557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; ;0;0;1;1;2299;2277;107;444;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.;45,46;43;11;12;66;945735;840508;364339;635868;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.; ;9;20;40;69;671482;657745;219574;572310;
2017;3º;Mais de quatro milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.;0,32;2;11;39;52;6137521;5963784;1013006;4623991;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S.A.; ;8;8;20;36;169574;3634;166368;1256;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;61348538;BANCO FICSA S.A.; ;0;0;1;1;35323;629;34697;38;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;00253448;BANCO NEON S.A.; ;12;12;12;36;141809;140544;1466;3604;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;40429946;BANCO PORTO REAL DE INVESTIMENTOS S.A; ;0;0;1;1;47;7;40; ;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;01023570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; ;0;1;0;1;3860;3700;1620;728;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S.A.; ;2;3;5;10;460492;3854;456852;1298;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S.A.; ;0;1;5;6;135933;15220;122526; ;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;9;13;10;32;1395624;166528;1243040;14942;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;1;8;32;41;1930034;1159696;889602;0;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;BANESTES (conglomerado); ;8;13;11;32;1322844;1199971;420765;879188;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;BANIF (conglomerado); ;0;0;1;1;518;515;3;613;
2017;3º;Mais de quatro milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);15,97;72;266;154;492;4506706;3336187;2454111;2460871;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;9;14;2;25;32743;878;31866; ;
2017;3º;Mais de quatro milhões de clientes;Conglomerado; ;BB (conglomerado);22,00;1315;2610;4336;8261;59756725;55851512;23268147;46953649;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;45283173;BBVA BRASIL BANCO DE INVESTIMENTO S.A.; ;0;0;1;1;0; ; ; ;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;BMG (conglomerado);46,30;168;468;418;1054;3628231;17619;3613534;5993;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;BMW (conglomerado); ;0;0;2;2;17409; ;17409; ;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);42,62;123;619;381;1123;2885487;16390;2869542;2140;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;BOCOM (conglomerado); ;2;0;2;4;12479;9872;2827;1146;
2017;3º;Mais de quatro milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);23,99;2267;3594;4202;10063;94473132;80437174;44714034;35064479;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;BRASIL PLURAL (conglomerado); ;1;0;1;2;2943;2941;23;752;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;BRB (conglomerado);131,23;109;170;148;427;830562;721037;369269;599310;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;BTG PACTUAL (conglomerado); ;0;0;3;3;88582;43742;45138;6215;
2017;3º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);31,88;2764;3630;6580;12974;86673233;83665805;18173457;75262372;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;09313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;38611;32038;7242; ;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado); ;11;229;139;379;338144;7059;332083;3280;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);61,23;83;165;140;388;1355504;580968;943937;201982;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;CREDIT SUISSE (conglomerado); ;0;0;1;1;3485;3482;112;0;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;CREFISA (conglomerado);11,47;18;81;32;131;1568001;34222;1559435; ;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;DACASA FINANCEIRA (conglomerado); ;0;4;6;10;1215584; ;1215584; ;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;DAYCOVAL (conglomerado); ;12;341;140;493;913973;54633;865579;17392;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;58158387;DIRECAO S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;6;6;77; ;77; ;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;479,53;17;13;4;34;35451; ;35451; ;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;00411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;99329;2034;97385; ;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;GMAC (conglomerado); ;3;15;51;69;463229;641;462680; ;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;HERVAL - HS (conglomerado); ;0;1;1;2;246527;510;246081; ;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;HONDA (conglomerado); ;2;4;23;29;456950;19;456937; ;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;2;13;5;20;57877;3777;54638;899;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;INDUSVAL (conglomerado); ;0;1;0;1;6855;6282;1086;2385;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;ING (conglomerado); ;0;0;2;2;213;141;83;17;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;INTERMEDIUM (conglomerado);76,35;34;416;108;558;445291;246363;235187;87593;
2017;3º;Mais de quatro milhões de clientes;Conglomerado; ;ITAU (conglomerado);17,20;1266;3511;4206;8983;73588791;55981068;40479083;29688106;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;06040559;KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;0;1;160015;3;160012; ;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;LECCA (conglomerado); ;0;1;1;2;22511;913;21603; ;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;MÁXIMA (conglomerado); ;0;1;0;1;4648;3809;982;1614;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);33,89;83;310;115;508;2448946;1914224;1026463;1418269;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;MERCEDES-BENZ (conglomerado); ;0;0;4;4;23789;50;23781; ;
2017;3º;Mais de quatro milhões de clientes;Banco/financeira;09464032;MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;5,74;39;72;44;155;6787688;45;6787655; ;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;MODAL (conglomerado); ;0;1;2;3;5346;5318;120;1664;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;09274232;NATIXIS BRASIL S.A. BANCO MÚLTIPLO; ;0;1;0;1;1;1; ;1;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;04379829;NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;0;0;2;2;509268;587;508681; ;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;OMNI (conglomerado); ;7;22;57;86;3660582;2027;3658569;0;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;ORIGINAL (conglomerado); ;7;67;87;161;506253;427971;139798;85935;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;PAN (conglomerado);73,25;213;909;1139;2261;2907794;16433;2893233;1903;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;PARANÁ BANCO (conglomerado);72,05;46;298;72;416;638376;5770;632846;2316;
2017;3º;Mais de quatro milhões de clientes;Banco/financeira;43180355;PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;4,12;19;89;42;150;4601041; ;4601041; ;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;PORTO SEGURO (conglomerado);35,82;48;38;66;152;1339815; ;1339815; ;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;01800019;PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;10;13;23;147122;2782;144345; ;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;27351731;REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;52,97;33;5;9;47;622990;1;622989; ;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;RENDIMENTO (conglomerado); ;1;4;3;8;17729;11332;7973;4079;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;RODOBENS (conglomerado); ;1;1;3;5;15576;5936;12504;555;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;SAFRA (conglomerado);52,08;59;250;232;541;1132676;304954;879634;90217;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;05503849;SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;7;7;28358; ;28358; ;
2017;3º;Mais de quatro milhões de clientes;Conglomerado; ;SANTANDER (conglomerado);41,16;1600;3190;2891;7681;38864588;33199639;14558498;24995442;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;SANTINVEST (conglomerado); ;13;11;3;27;13612;477;13135; ;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;07747410;SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;4;2;6;148706; ;148706; ;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;11970623;SENFF S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;2;2;43345;124;43225; ;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;SICREDI (conglomerado); ;0;1;2;3;3095691;3070115;112620;0;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;SOCIETE GENERALE (conglomerado); ;3;6;12;21;1148;893;326;66;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;SOCOPA (conglomerado); ;3;0;0;3;51135;35645;15708;2279;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;SOFISA (conglomerado); ;0;4;2;6;81639;70806;12283;29796;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;04814563;SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;12;6;23;41;405927; ;405927; ;
2017;3º;Menos de quatro milhões de clientes;Banco/financeira;05192316;VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;0;0;1;1;316571;155;316421; ;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;VOLKSWAGEN (conglomerado); ;2;19;54;75;444278;1392;443220; ;
2017;3º;Menos de quatro milhões de clientes;Conglomerado; ;VOLVO (conglomerado); ;1;0;1;2;9949;101;9942; ;
2017;3º;Mais de quatro milhões de clientes;Conglomerado; ;VOTORANTIM (conglomerado);32,05;130;280;334;744;4055393;21636;4035545;4193;
