Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;2;1;3;15734;14481;3040;2778;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado); ;7;166;136;309;535631;114636;462601;10149;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;2;2;213303;108;213195; ;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;14;21;18;53;433039;268947;165761;0;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;1;2;3;7184;1366;5818;74;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;2;4;1;7;261085;285;260801; ;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.; ;1;3;8;12;112932;8895;104652;2252;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;00997185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.; ;0;0;1;1;786;786; ;34;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;27098060;BANCO CBSS S.A.;18,82;16;43;68;127;849816; ;849816; ;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;0;0;2;2;27509;1339;26595; ;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;9,68;38;90;89;217;3924426; ;3924426; ;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;5;4;10;19;499353;426263;163887;277819;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;44189447;BANCO DE LA PROVINCIA DE BUENOS AIRES; ;0;0;4;4;67;50;21;0;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;0;0;2;2;41958;1;41957; ;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.;53,00;51;14;19;84;962128;851030;377937;650884;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.; ;14;31;54;99;691509;677759;221553;596745;
2018;1º;Mais de quatro milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.;0,46;3;19;30;52;6397101;6232867;1022374;4858891;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S.A.; ;0;4;3;7;167923;3645;164696;1153;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;61348538;BANCO FICSA S.A.; ;0;0;3;3;34713;628;34088;37;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;62237425;BANCO FIDIS S/A; ;0;0;1;1;1929;267;1673; ;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;90731688;BANCO FORD S.A.; ;0;2;2;4;352;95;263; ;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;04866275;BANCO INBURSA S.A.; ;0;0;3;3;46;4;42;4;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;00253448;BANCO NEON S.A.; ;5;7;13;25;317352;315753;1879;38801;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;00517645;BANCO RIBEIRAO PRETO S.A.; ;0;1;1;2;4423;3639;2698;438;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S.A.; ;0;2;0;2;410246;3899;406525;1197;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;07679404;BANCO TOPÁZIO S.A.; ;0;0;12;12;24302;5843;20023;1277;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S.A.; ;1;2;15;18;142966;15238;129402; ;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;5;12;8;25;1527570;170913;1372202;14118;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;2;13;31;46;2091208;1253418;971892;0;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;BANESTES (conglomerado); ;14;11;4;29;1319406;1196588;429679;879038;
2018;1º;Mais de quatro milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);12,21;56;255;179;490;4585763;3423296;2542610;2563823;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;4;13;6;23;32369;888;31481; ;
2018;1º;Mais de quatro milhões de clientes;Conglomerado; ;BB (conglomerado);24,20;1504;2857;3571;7932;62141375;58495961;22989768;48018420;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;45283173;BBVA BRASIL BANCO DE INVESTIMENTO S.A.; ;0;0;2;2;0;0;0; ;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;BMG (conglomerado);31,29;119;642;566;1327;3802746;31637;3787083;8689;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;BMW (conglomerado); ;0;0;2;2;17598; ;17598; ;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);36,27;106;549;404;1059;2922450;17775;2905133;2407;
2018;1º;Mais de quatro milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);20,05;1886;3608;3753;9247;94058577;81713652;42023190;36606327;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;BRASIL PLURAL (conglomerado); ;0;0;1;1;3334;3332;21;753;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;BRB (conglomerado);311,77;262;100;135;497;840363;730751;368540;471241;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;BTG PACTUAL (conglomerado); ;0;2;1;3;52841;52408;703;9208;
2018;1º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);27,62;2444;3919;5084;11447;88470270;85559582;17960213;77190824;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;09313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;0;1;47691;41579;8737; ;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado); ;6;162;54;222;311390;5765;306273;2614;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;CITIBANK (conglomerado); ;2;5;6;13;557615;549768;8659;3790;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;CREDIT SUISSE (conglomerado); ;0;1;0;1; ; ; ;0;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;CREFISA (conglomerado); ;14;77;53;144;1453238;214438;1427692;0;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;DACASA FINANCEIRA (conglomerado); ;2;1;6;9;1244193; ;1244193; ;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;DAYCOVAL (conglomerado); ;10;222;127;359;911707;60431;857727;19211;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO; ;1;12;4;17;44254;547;43707; ;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;00411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;3;3;97016;1989;95119; ;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;GMAC (conglomerado); ;3;15;24;42;429966;461;429595; ;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;GRUPO BONSUCESSO - BS2 (conglomerado); ;0;9;2;11;19005;4240;14898;1633;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;GRUPO ZEMA (conglomerado); ;0;1;0;1;247171;467;246705; ;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;HERVAL - HS (conglomerado); ;0;1;1;2;244433;527;243966; ;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;HONDA (conglomerado); ;1;5;14;20;458031;16;458016; ;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;3;6;7;16;56709;3750;53505;871;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;INDUSVAL (conglomerado); ;0;0;1;1; ; ; ;0;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;INTERMEDIUM (conglomerado);67,59;46;282;190;518;680510;486954;275355;187092;
2018;1º;Mais de quatro milhões de clientes;Conglomerado; ;ITAU (conglomerado);14,58;1091;3513;3674;8278;74816448;57044160;41156434;39809476;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;JOHN DEERE (conglomerado); ;0;0;1;1;13627;251;13437;49;
2018;1º;Menos de quatro milhões de clientes;Banco/financeira;11271860;LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;0;1;172926;2;172924; ;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;MÁXIMA (conglomerado); ;0;1;2;3;4790;3952;979;1495;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);16,97;44;168;100;312;2592156;2033468;1084619;1517905;
2018;1º;Menos de quatro milhões de clientes;Conglomerado; ;MERCEDES-BENZ (conglomerado); ;0;2;3;5;22756;55;22749; ;
2018;1º;Mais de quatro milhões de clientes;Banco/financeira;09464032;MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;3,50;25;100;54;179;7136916;42;7136883; ;
