Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.; ;0;0;1;1;10512;4833;6117;1165
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;253448;BANCO NEON S.A.; ;7;9;11;27;213218;211866;1562;38801
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;795423;BANCO SEMEAR S.A.; ;1;1;2;4;401950;3896;398252;1197
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;3215790;BANCO TOYOTA DO BRASIL S.A.; ;2;4;19;25;139416;15222;125948; 
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;7;11;5;23;1465412;168607;1311589;14118
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;3;12;46;61;2015382;1207614;934460;0
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;BANESTES (conglomerado);12,11;16;9;4;29;1320559;1197629;425191;879038
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;BANIF (conglomerado); ;0;0;1;1;484;480;4;12
2017;4º;Mais de quatro milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);25,06;114;277;179;570;4548099;3380510;2456411;2563823
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;8;10;3;21;32673;881;31792;475
2017;4º;Mais de quatro milhões de clientes;Conglomerado; ;BB (conglomerado);24,5;1524;2641;3658;7823;62181281;58565948;23160901;48018420
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;BMG (conglomerado);43,73;164;560;557;1281;3750226;22466;3735030;8689
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;BMW (conglomerado); ;0;1;1;2;17157; ;17157; 
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);34,49;100;673;379;1152;2898773;16973;2882262;2407
2017;4º;Mais de quatro milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);25,63;2438;3365;3775;9578;95112012;81052800;44807044;36606327
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;BRB (conglomerado);68,04;57;107;122;286;837641;728032;369995;471241
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;12865507;BRICKELL S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;2;2;827;826;75;153
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;BTG PACTUAL (conglomerado); ;0;0;1;1;92648;47461;45488;9208
2017;4º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);33,24;2913;3853;4942;11708;87613949;84658268;18129259;77190824
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;9313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;0;1;2;41359;35047;7904;1051
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado); ;8;164;112;284;326245;6461;320595;2614
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;26225776;CENTROCRED S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;0;0;3;3;10766;2;10764;3
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);76,09;45;148;111;304;591341;583424;8780;3790
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;CREDIT AGRICOLE (conglomerado); ;0;0;1;1;2406;2394;44;0
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;CREFISA (conglomerado);9,31;15;88;33;136;1610062;103753;1593801;0
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;DACASA FINANCEIRA (conglomerado); ;3;5;5;13;1228252; ;1228252;633
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;DAYCOVAL (conglomerado); ;8;232;128;368;909504;58210;857522;19211
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;58158387;DIRECAO S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;6;0;6;81; ;81;
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;497,87;20;17;1;38;40171;542;39629;406
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;98225;1996;96318;1740
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;GMAC (conglomerado); ;4;15;40;59;446956;459;446585;149
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;HERVAL - HS (conglomerado); ;0;0;2;2;245296;522;244841;163
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;HONDA (conglomerado); ;2;8;14;24;457201;17;457187;18
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;3;14;4;21;56818;3724;53631;871
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;INDUSVAL (conglomerado); ;0;0;1;1;6923;6333;1081;0
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;INTERMEDIUM (conglomerado);29,94;16;316;95;427;534391;338303;254728;187092
2017;4º;Mais de quatro milhões de clientes;Conglomerado; ;ITAU (conglomerado);15,65;1165;3183;3563;7911;74422206;56492392;41181809;39809476
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;6040559;KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;2;2;168218;3;168215;3
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;LECCA (conglomerado); ;1;1;3;5;21800;955;20849;511
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;MÁXIMA (conglomerado); ;0;1;1;2;4669;3850;965;1495
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);19,37;49;183;104;336;2529108;1979991;1059936;1517905
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;MERCEDES-BENZ (conglomerado); ;0;0;3;3;23146;54;23138;62
2017;4º;Mais de quatro milhões de clientes;Banco/financeira;9464032;MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;5,05;35;102;50;187;6920266;45;6920233;45
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;MODAL (conglomerado); ;1;1;5;7;5368;5278;177;1533
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;4379829;NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;1;0;0;1;523083;612;522471;375
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;74828799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; ;0;1;0;1;4239;2269;2364;684
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;OMNI (conglomerado); ;8;22;41;71;3668703;2107;3666612;0
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;ORIGINAL (conglomerado); ;3;63;70;136;590019;512735;158371;125842
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;OURINVEST (conglomerado); ;0;0;2;2;16940;14344;2605;50
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;PAN (conglomerado);81,64;237;958;1138;2333;2902862;17064;2887658;2851
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;PARANÁ BANCO (conglomerado); ;11;246;62;319;632966;6383;626805;2885
2017;4º;Mais de quatro milhões de clientes;Banco/financeira;43180355;PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;3,01;14;46;47;107;4646956; ;4646956;117
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;PINE (conglomerado); ;0;1;0;1;5423;4822;931;2180
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;PORTO SEGURO (conglomerado);14,98;21;24;61;106;1401349; ;1401349; 
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;1800019;PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;1;5;17;23;150195;2816;147383;2681
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;27351731;REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;92,8;65;26;25;116;700427;1;700426; 
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;RENDIMENTO (conglomerado); ;2;4;4;10;17497;11582;7526;4202
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;RODOBENS (conglomerado); ;0;0;5;5;15201;5296;12290;582
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;SAFRA (conglomerado);71,72;89;236;277;602;1240917;318269;975632;96994
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;5503849;SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;3;3;28770; ;28770; 
2017;4º;Mais de quatro milhões de clientes;Conglomerado; ;SANTANDER (conglomerado);42,87;1700;2949;4051;8700;39649999;33801886;15108978;25841987
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;SANTINVEST (conglomerado); ;4;4;4;12;13696;484;13212;409
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;7747410;SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;1;3;5;160477; ;160477; 
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;SICREDI (conglomerado); ;0;3;0;3;3225631;3200695;116444;0
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;SINOSSERRA (conglomerado); ;1;0;0;1;4524;4;4520;5
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;SOCIETE GENERALE (conglomerado); ;0;1;0;1;1250;987;330;57
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;3881423;SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;7;7;4319;2355;1964;2489
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;SOCOPA (conglomerado); ;0;0;3;3;52049;36572;15693;2370
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;SOFISA (conglomerado);170,22;16;5;16;37;93995;83216;12347;38125
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;4814563;SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;7;17;28;52;445221; ;445221;984
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;VOLKSWAGEN (conglomerado); ;3;19;61;83;418638;1392;417579;629
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;VOLVO (conglomerado); ;0;1;3;4;9562;96;9555;25
2017;4º;Mais de quatro milhões de clientes;Conglomerado; ;VOTORANTIM (conglomerado);12,5;51;266;275;592;4078779;21671;4058647;3727
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;WESTERN UNION (conglomerado); ;2;1;2;5;3;3; ;1
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;0;0;6;6;118495;55;118441; 
