Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado); ;7;107;93;207;473985;85003;424367;10149
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;9;33;20;62;453229;268849;186100;9852
2017;4º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;1;5;6;7180;1362;5821;74
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;0;1;253509;208;253303;230
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.; ;0;4;15;19;111521;7262;104615;2252
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;54403563;BANCO ARBI S.A.; ;0;2;0;2;6893;464;6463;210
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;997185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.; ;0;0;1;1;771;771; ;34
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;71027866;BANCO BS2 S.A.; ;1;25;8;34;20069;3880;16353;1633
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;27098060;BANCO CBSS S.A.;16,9;27;41;60;128;1597285; ;1597285; 
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;2992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;0;1;3;4;27352;1376;26415; 
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;8357240;BANCO CSF S.A.;9,93;37;103;66;206;3724925; ;3724925;125964
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;4902979;BANCO DA AMAZONIA S.A.; ;4;4;9;17;501730;425078;168806;277819
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;5040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;0;1;2;3;42488;1;42487; 
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.;15,71;15;14;11;40;954687;846433;367401;650884
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;4913711;BANCO DO ESTADO DO PARÁ S.A.; ;12;23;28;63;682397;668585;222053;596745
2017;4º;Mais de quatro milhões de clientes;Banco/financeira;7237373;BANCO DO NORDESTE DO BRASIL S.A.;0,15;1;15;33;49;6276307;6106915;1023124;4858891
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S.A.; ;6;2;10;18;167399;3661;164156;1153
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;61348538;BANCO FICSA S.A.; ;1;0;0;1;34957;628;34332;37
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;62237425;BANCO FIDIS S/A; ;0;0;3;3;4150;315;3846;143
2017;4º;Menos de quatro milhões de clientes;Banco/financeira;4866275;BANCO INBURSA S.A.; ;0;0;1;1;34;2;32;4
