Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado);51,26;17;231;210;458;331620;7832;324938;3666
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);39,28;52;162;154;368;1323821;561384;933827;209719
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;CREDIT AGRICOLE (conglomerado); ;0;0;1;1;2519;2504;47;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;CREDIT SUISSE (conglomerado); ;0;0;1;1;3607;3607;101;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;CREFISA (conglomerado);10,55;16;81;35;132;1516424;12859;1503602;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;DACASA FINANCEIRA (conglomerado); ;3;1;5;9;1200776; ;1200776; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;DAYCOVAL (conglomerado); ;13;448;154;615;927015;50858;882182;15087
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;DEUTSCHE (conglomerado); ;0;0;1;1;3673;3662;145;398
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO; ;11;3;5;19;29502; ;29502; 
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;1;2;97983; ;97983; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;GMAC (conglomerado); ;5;18;47;70;477470;633;476924; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;GRUPO ZEMA (conglomerado); ;1;0;0;1;136244; ;136244; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;HERVAL - HS (conglomerado); ;1;0;0;1;240350; ;240350; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;HONDA (conglomerado); ;2;5;19;26;454625;20;454611; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;3;1;2;6;57689;4045;54184;858
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;INDUSVAL (conglomerado); ;0;0;1;1;6929;6239;1216;2607
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;INTERMEDIUM (conglomerado);54,16;20;288;90;398;369262;165709;226701;34078
2017;2º;Mais de quatro milhões de clientes;Conglomerado; ;ITAU (conglomerado);21,33;1468;3506;4636;9610;68821561;49486744;40438974;28830155
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;JP MORGAN CHASE (conglomerado); ;0;1;1;2;4181;4161;123;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;LECCA (conglomerado); ;1;1;1;3;21481; ;21481; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;MÁXIMA (conglomerado); ;0;0;1;1;29238;3505;25886;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);16,88;40;250;99;389;2368432;1826549;1004518;1303140
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;MERCEDES-BENZ (conglomerado); ;0;1;0;1;24446;37;24440; 
2017;2º;Mais de quatro milhões de clientes;Banco/financeira;9464032;MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11,85;78;70;50;198;6582000; ;6582000; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;MODAL (conglomerado); ;1;1;3;5;5257;5202;152;1761
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;4379829;NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;0;1;2;3;494343; ;494343; 
2017;2º;Mais de quatro milhões de clientes;Conglomerado; ;OMNI (conglomerado);4,12;17;20;71;108;4125165;0;4125165; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;ORIGINAL (conglomerado); ;6;50;83;139;447763;368959;137280;46948
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;OURINVEST (conglomerado); ;0;0;2;2;17104;14582;2529; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;PAN (conglomerado);81,21;236;924;1036;2196;2905904;15954;2891813;2052
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;PARANÁ BANCO (conglomerado);54,45;35;289;98;422;642783;5362;637682;2139
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;3311443;PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;0;0;1;1;891; ;891; 
2017;2º;Mais de quatro milhões de clientes;Conglomerado; ;PERNAMBUCANAS (conglomerado);2,86;13;21;26;60;4532183; ;4532183; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;PINE (conglomerado); ;1;0;0;1;4138;3528;929;1190
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;PORTO SEGURO (conglomerado);40,44;51;29;77;157;1260965; ;1260965; 
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;1800019;PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;9;12;21;139737; ;139737; 
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;RENDIMENTO (conglomerado); ;2;3;0;5;17101;11021;7633;3788
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;RODOBENS (conglomerado); ;1;2;3;6;15829;6553;12614;398
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;SAFRA (conglomerado);44,12;46;363;267;676;1042575;295847;798368;88033
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;5503849;SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;0;1;2;28098; ;28098; 
2017;2º;Mais de quatro milhões de clientes;Conglomerado; ;SANTANDER (conglomerado);28,58;1089;2695;2916;6700;38098966;32601338;13996852;24362717
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;SANTINVEST (conglomerado); ;1;2;0;3;12748; ;12748; 
