Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR
2019;4º;Mais de quatro milhões de clientes;Conglomerado; ;BMG (conglomerado);68,66;326;430;477;1233;4747780;687809;4612267
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;BMW (conglomerado); ;1;0;2;3;22944;22570;19290
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);151,13;478;254;201;933;3162634;15185;3148010
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;BOCOM (conglomerado); ;0;1;0;1;7554;6033;1760
2019;4º;Mais de quatro milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);19,36;1910;3368;3328;8606;98653100;87283789;47221896
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;BRB (conglomerado);52,38;47;73;63;183;897143;784805;412317
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;BTG PACTUAL (conglomerado); ;2;3;10;15;335616;224447;111958
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;C6 BANK (conglomerado);39,49;29;48;91;168;734239;734076;88597
2019;4º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);17,19;1637;2696;4054;8387;95191144;92523459;19995709
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;9313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;0;1;2;64007;55286;18861
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado); ;3;111;55;169;258090;3750;254934
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;CITIBANK (conglomerado); ;1;1;5;7;23825;19387;5291
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;CREFISA (conglomerado);12,63;22;102;45;169;1741372;610547;1609950
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;DACASA FINANCEIRA (conglomerado); ;5;2;4;11;1081485; ;1081485
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;DAYCOVAL (conglomerado);52,47;53;212;241;506;1010041;94038;928103
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;1.310,55;114;405;8;527;86986;594;86396
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;3;3;101554;1906;99736
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;FINAXIS (conglomerado); ;0;0;1;1;4615;4615; 
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;GAZIN (conglomerado); ;3;0;2;5;38982;278;38732
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;GMAC (conglomerado); ;2;7;14;23;353463;459;353088
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;GRUPO BONSUCESSO - BS2 (conglomerado);70,05;17;33;16;66;242674;235803;7089
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;GRUPO ZEMA (conglomerado); ;0;1;0;1;375792;558;375237
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;HONDA (conglomerado); ;4;4;22;30;483656;68;483617
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado);336,21;21;31;11;63;62460;4156;58855
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;INDUSVAL (conglomerado); ;0;0;1;1;4829;4157;994
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;INTER (conglomerado);123,55;489;364;584;1437;3957845;3786688;907931
2019;4º;Mais de quatro milhões de clientes;Conglomerado; ;ITAU (conglomerado);16,85;1377;4086;3364;8827;81684646;61991776;50578413
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;4230630;JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO; ;4;6;6;16;128313; ;128313
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;JP MORGAN CHASE (conglomerado); ;0;0;1;1;3768; ; 
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;6040559;KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;2;0;2;254657;4;254653
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;LECCA (conglomerado); ;0;1;4;5;25778;1112;24668
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;MÁXIMA (conglomerado); ;12;11;10;33;55220;6200;49162
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);27,23;82;81;54;217;3010523;2532428;1473062
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;MERCEDES-BENZ (conglomerado); ;1;0;1;2;20092;153;20024
2019;4º;Mais de quatro milhões de clientes;Banco/financeira;9464032;MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;5,61;64;51;49;164;11392747;46;11392730
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;MODAL (conglomerado);150,15;65;17;36;118;432873;432873; 
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;4379829;NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;0;1;0;1;572602;661;571942
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;74828799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO;998,61;62;8;7;77;62086;3064;59443
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;NUBANK (conglomerado); ;0;5;10;15;45018; ;45018
2019;4º;Mais de quatro milhões de clientes;Conglomerado; ;OMNI (conglomerado);7,57;35;39;58;132;4623207;2804;4620763
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;ORIGINAL (conglomerado);111,92;271;172;242;685;2421171;2341890;387351
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;OURINVEST (conglomerado); ;0;1;0;1;64010;32309;31762
2019;4º;Mais de quatro milhões de clientes;Conglomerado; ;PAN (conglomerado);126,47;564;731;971;2266;4459480;25975;4439203
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;PARANÁ BANCO (conglomerado); ;11;170;68;249;369533;8490;361306
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;3311443;PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;1;1;0;2;857; ;857
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;43180355;PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;18,78;62;25;23;110;3301184; ;3301184
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;PORTO SEGURO (conglomerado);17,21;37;68;73;178;2149319; ;2149319
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;1800019;PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;13;75;25;113;222025;3783;218247
2019;4º;Mais de quatro milhões de clientes;Banco/financeira;27351731;REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;2,67;13;33;24;70;4862925;52;4862893
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;RENDIMENTO (conglomerado); ;7;5;2;14;21556;16953;7628
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;RODOBENS (conglomerado); ;7;2;5;14;12464;1721;11260
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;SAFRA (conglomerado);629,65;1573;1598;921;4092;2498174;934697;1730364
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;5503849;SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;3;0;3;6;29507;1184;28325
2019;4º;Mais de quatro milhões de clientes;Conglomerado; ;SANTANDER (conglomerado);22,94;1085;2885;2590;6560;47281933;39339226;23311662
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;122327;SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;3;6;0;9;14773;819;13954
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;7747410;SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;9;6;6;21;707920; ;707920
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;29030467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; ;0;0;1;1;236;226;12
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;11970623;SENFF S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;2;3;74399;77;74328
2019;4º;Mais de quatro milhões de clientes;Conglomerado; ;SICREDI (conglomerado);0;0;0;1;1;4564825;4541812;152678
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;SOCIETE GENERALE (conglomerado); ;1;0;0;1;677;549;171
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;3881423;SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;2;3;6;11;6257;3273;2984
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;SOFISA (conglomerado); ;13;14;30;57;221280;210530;15552
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;SOROCRED (conglomerado); ;5;26;23;54;483650;1277;482412
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;5192316;VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;0;1;1;2;444831;992;443842
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;VOLKSWAGEN (conglomerado);48,76;19;17;43;79;389621;1396;388534
2019;4º;Mais de quatro milhões de clientes;Conglomerado; ;VOTORANTIM (conglomerado);9,5;70;170;239;479;7364173;3535154;4124983
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;WESTERN UNION (conglomerado); ;5;0;0;5;1;1; 
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;0;1;7;8;171174;41;171139
