Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;4;13;2;19;21838;20456;3169
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);84,98;103;151;58;312;1211977;594016;996669
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;0;0;1;339471;138;339333
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);57,55;24;50;35;109;416983;268161;150072
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;0;7;7;3343;3343;10
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;13;4;4;21;1489174;1016973;710369
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.;88,73;19;19;29;67;214113;97404;142450
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;54403563;BANCO ARBI S.A.; ;1;0;0;1;2468;2468; 
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;997185;BANCO B3 S.A.; ;0;0;1;1;742;742; 
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;2658435;BANCO CATERPILLAR S.A.; ;0;1;1;2;3064; ;3064
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;31597552;BANCO CLASSICO S.A.; ;1;0;0;1;20;20; 
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;2992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;0;0;1;1;26888;1225;26008
2019;4º;Mais de quatro milhões de clientes;Banco/financeira;8357240;BANCO CSF S.A.;7,73;56;84;84;224;7235478; ;7235478
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;4902979;BANCO DA AMAZONIA S.A.; ;3;1;9;13;511229;447922;156376
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;5040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;0;1;0;1;36327;2;36325
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;27098060;BANCO DIGIO S.A.;40,47;49;76;76;201;1210597;3;1210595
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.; ;10;11;7;28;1086122;877093;586800
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;4913711;BANCO DO ESTADO DO PARÁ S.A.;38,94;28;29;24;81;718885;690982;281460
2019;4º;Mais de quatro milhões de clientes;Banco/financeira;7237373;BANCO DO NORDESTE DO BRASIL S.A.;0,63;5;9;31;45;7836766;7243969;2892510
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S.A.; ;3;1;4;8;166441;3881;162983
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;61348538;BANCO FICSA S.A.; ;0;1;0;1;33359;613;32748
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;4866275;BANCO INBURSA S.A.; ;1;1;0;2;8933;8;8925
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.; ;0;1;0;1;10385;4835;5949
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;80271455;BANCO MAXINVEST S.A.; ;0;0;1;1;362;28;355
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;517645;BANCO RIBEIRAO PRETO S.A.; ;1;0;0;1;4996;4686;3074
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;795423;BANCO SEMEAR S.A.; ;2;1;0;3;272050;2919;269247
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;7679404;BANCO TOPÁZIO S.A.; ;0;0;2;2;22008;15352;9852
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;3215790;BANCO TOYOTA DO BRASIL S.A.; ;3;2;9;14;178690;15279;164636
2019;4º;Menos de quatro milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;8;19;11;38;1938708;215381;1761347
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;9;24;19;52;3558581;1749709;2141157
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;BANESTES (conglomerado);11,67;15;17;13;45;1284420;1238867;462679
2019;4º;Mais de quatro milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);23,3;115;331;147;593;4935064;3673953;3886912
2019;4º;Menos de quatro milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;11;17;2;30;28528;916;27622
2019;4º;Mais de quatro milhões de clientes;Conglomerado; ;BB (conglomerado);19,06;1267;2078;2243;5588;66464386;62903443;28190640
