Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2018;3º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);122,15;109;209;223;541;892307;382416;653437;34664;
2018;3º;Menos de quatro milhões de clientes;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;1;0;2;235633;108;235525; ;
2018;3º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;12;48;36;96;415592;268512;148630;0;
2018;3º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;2;1;6;9;7900;2082;5821;0;
2018;3º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;8;5;25;38;656153;350188;415326; ;
2018;3º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.; ;2;3;3;8;132457;29206;108875;3597;
2018;3º;Menos de quatro milhões de clientes;Banco/financeira;54403563;BANCO ARBI S.A.; ;3;1;1;5;8425;458;7995;206;
2018;3º;Menos de quatro milhões de clientes;Banco/financeira;00997185;BANCO B3 S.A.; ;0;1;3;4;789;789; ;43;
2018;3º;Menos de quatro milhões de clientes;Banco/financeira;27098060;BANCO CBSS S.A.;26,05;24;67;106;197;921130; ;921130; ;
2018;3º;Menos de quatro milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;1;0;2;3;26413;1252;25554; ;
2018;3º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;5,87;25;121;103;249;4256399; ;4256399; ;
2018;3º;Menos de quatro milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;4;5;4;13;501310;430323;161381;278441;
2018;3º;Menos de quatro milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;0;0;1;1;40538;2;40536; ;
2018;3º;Menos de quatro milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.; ;8;10;8;26;971049;852187;386648;656200;
2018;3º;Menos de quatro milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.; ;10;28;41;79;710032;696331;231619;607646;
2018;3º;Mais de quatro milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.;0,29;2;13;35;50;6666785;6505323;1061466;5054710;
