Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;03881423;SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;10;8;20;38;6367;3318;3049; ;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;SOCOPA (conglomerado); ;2;2;1;5;25739;10411;15541;2415;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;SOFISA (conglomerado);133,65;27;26;88;141;202010;190670;15960;43968;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;SOROCRED (conglomerado); ;4;22;24;50;449778;1329;448489; ;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;09473806;TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;27452;4;27448; ;
2019;3º;Menos de quatro milhões de clientes;Banco/financeira;05192316;VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;4;2;2;8;435773;989;434789; ;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;VOLKSWAGEN (conglomerado); ;14;7;58;79;381760;1396;380672; ;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;VOLVO (conglomerado); ;1;0;0;1;8003;84;7997; ;
2019;3º;Mais de quatro milhões de clientes;Conglomerado; ;VOTORANTIM (conglomerado);14,83;91;270;454;815;6133287;2288939;4045284;8966;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;VR (conglomerado); ;1;0;0;1;94;68;27;29;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;WESTERN UNION (conglomerado); ;4;1;3;8;1;1; ;1;
2019;3º;Menos de quatro milhões de clientes;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;2;1;9;12;162271;60;162214; ;
