Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2019;1º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;0;1;1;16463;15189;2937;2759;
2019;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);118,44;135;207;133;475;1139749;604535;851488;34664;
2019;1º;Menos de quatro milhões de clientes;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;2;0;0;2;112;112; ; ;
2019;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;9;22;25;56;411522;268225;144750;0;
2019;1º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;1;2;3;8359;2541;5830;0;
2019;1º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;18,11;19;0;4;23;1049008;580659;615551; ;
2019;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.; ;6;8;11;25;142675;37406;115453;3597;
2019;1º;Menos de quatro milhões de clientes;Banco/financeira;54403563;BANCO ARBI S.A.; ;0;2;0;2;9455;1419;8078;206;
2019;1º;Menos de quatro milhões de clientes;Banco/financeira;00997185;BANCO B3 S.A.; ;0;0;1;1;762;762; ;43;
2019;1º;Menos de quatro milhões de clientes;Banco/financeira;27098060;BANCO CBSS S.A.;40,14;37;83;86;206;921597; ;921597; ;
2019;1º;Menos de quatro milhões de clientes;Banco/financeira;31597552;BANCO CLASSICO S.A.; ;0;0;2;2;19;19; ;13;
2019;1º;Menos de quatro milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;0;0;1;1;27172;1243;26299; ;
2019;1º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;10,13;47;83;75;205;4637260; ;4637260; ;
2019;1º;Menos de quatro milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;8;9;8;25;502720;434173;158653;278441;
2019;1º;Menos de quatro milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;0;0;1;1;38240;2;38238; ;
2019;1º;Menos de quatro milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.; ;11;10;8;29;984298;862307;399425;656200;
2019;1º;Menos de quatro milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.;23,79;17;26;22;65;714557;700882;225053;607646;
2019;1º;Mais de quatro milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.;0,43;3;12;49;64;6928987;6771439;1090913;5054710;
2019;1º;Menos de quatro milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S.A.; ;2;2;6;10;166364;3823;162951;1130;
2019;1º;Menos de quatro milhões de clientes;Banco/financeira;90731688;BANCO FORD S.A.; ;0;0;1;1;385;143;256; ;
2019;1º;Menos de quatro milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.; ;1;0;0;1;10498;4878;6039;1061;
2019;1º;Menos de quatro milhões de clientes;Banco/financeira;60498557;BANCO MUFG BRASIL S.A.; ;0;0;1;1;2770;2748;110;455;
2019;1º;Menos de quatro milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S.A.; ;1;0;4;5;307494;3702;303939;1107;
2019;1º;Menos de quatro milhões de clientes;Banco/financeira;07679404;BANCO TOPÁZIO S.A.; ;6;0;3;9;14073;9407;7002;1598;
2019;1º;Menos de quatro milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S.A.; ;1;6;9;16;158109;15262;144231; ;
2019;1º;Menos de quatro milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;12;22;4;38;1456643;184056;1287236;14066;
2019;1º;Menos de quatro milhões de clientes;Conglomerado; ;BANCOOB (conglomerado);7,14;18;25;22;65;2520198;1528055;1183358;0;
2019;1º;Menos de quatro milhões de clientes;Conglomerado; ;BANESTES (conglomerado); ;10;26;12;48;1250039;1211359;331029;862259;
2019;1º;Mais de quatro milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);12,80;61;347;153;561;4763306;3532561;2688788;2510314;
2019;1º;Menos de quatro milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;4;14;0;18;31674;952;30723; ;
2019;1º;Mais de quatro milhões de clientes;Conglomerado; ;BB (conglomerado);20,77;1337;2566;2706;6609;64363992;60787590;23417698;40039565;
2019;1º;Menos de quatro milhões de clientes;Conglomerado; ;BMG (conglomerado);45,56;180;442;401;1023;3949983;240375;3897110;23187;
2019;1º;Menos de quatro milhões de clientes;Conglomerado; ;BMW (conglomerado); ;1;0;0;1;20622;20418;17537; ;
2019;1º;Menos de quatro milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);90,77;270;455;337;1062;2974492;16987;2958022;490095;
2019;1º;Menos de quatro milhões de clientes;Conglomerado; ;BNY MELLON (conglomerado); ;0;1;0;1;39271;39271; ;1605;
2019;1º;Mais de quatro milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);23,35;2239;3551;3928;9718;95881367;84644165;39460628;33849746;
